Iteration,Cost,GradientNorm,StepNorm,TrustRegionRadius
0,0.000523742,0.000102096,0,0.1
1,0.000523713,9.28069e-05,0.000181334,0.3
2,0.000523657,7.13757e-05,0.000418389,0.9
3,0.000523598,3.75508e-05,0.000660374,2.7
4,0.000523577,1.01425e-05,0.000535139,8.1
5,0.000523575,1.11371e-06,0.000176299,24.3
